,name,year,imdb,number_votes,age_rating,genres,directors
172,Monster Hunter: World,2018,7.8,466,12,"Action, Adventure, Family",Kaname Fujioka
173,Heroes of the Storm,2015,7.1,458,none,"Action, Adventure",Dustin Browder
174,Five Nights at Freddy's 4: The Final Chapter,2015,6.6,458,none,"Horror, Mystery, Thriller",Scott Cawthon
175,Need for Speed: Payback,2017,6.5,454,none,"Action, Adventure, Crime",William Ho
176,Kingdom Hearts HD 1.5 + 2.5 Remix,2017,9.3,445,none,"Adventure, Family, Fantasy",Tetsuya Nomura
177,Hollow Knight,2017,8.6,441,10,"Animation, Action, Adventure",none
178,The Legend of Zelda: Twilight Princess HD,2016,8.8,441,none,"Action, Adventure, Crime",Eiji Aonuma
179,Stardew Valley,2016,8.4,424,10,"Adventure, Family, Fantasy",Eric Barone
180,Dead by Daylight,2016,7.3,420,18,"Adventure, Horror, Thriller",Ashley Pannell
181,Vampyr,2018,7.2,420,18,"Action, Drama, Fantasy",Philippe Moreau
182,Destiny: Rise of Iron,2016,7.9,412,none,"Action, Adventure, Sci-Fi",Christopher Barrett
183,Sniper Elite 4,2017,7.5,411,none,"Action, Adventure, War",Tom Clarke Hill
184,Assassin's Creed: Unity - Dead Kings,2015,6.9,408,none,"Action, Adventure, Fantasy",Florent Sacre
185,The Legend of Zelda: Majora's Mask 3D,2015,8.8,407,none,"Action, Adventure, Crime",Mikiharu Oiwa
186,Fallout Shelter,2015,6.2,405,none,"Family, Sci-Fi",Todd Howard
187,Lego Marvel Super Heroes 2,2017,7.7,394,none,"Action, Adventure, Family",Karsten Lund
188,Layers of Fear,2015,7.2,389,none,"Adventure, Horror",Erik Braa
189,The Division 2,2019,8.0,387,none,"Action, Adventure",Julian Gerighty
190,Splatoon,2015,7.8,385,none,"Action, Adventure, Comedy",Yusuke Amano
191,Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,8.8,378,none,"Action, Adventure, Family",Tetsuya Nomura
192,Doragon bôru: Zenobâsu,2015,7.5,371,none,"Action, Adventure, Fantasy",Yuka Kobayashi
193,World of Warcraft: Battle for Azeroth,2018,7.1,366,none,"Adventure, Drama, Fantasy",Alex Afrasiabi
194,Dead Rising 4,2016,7.0,360,18,"Action, Adventure, Comedy",Joe Nickolls
195,The Witness,2016,7.8,359,none,"Adventure, Fantasy, Mystery",Jonathan Blow
196,The Beginner's Guide,2015,8.3,353,none,Adventure,Davey Wreden
197,Dragon Ball FighterZ,2018,8.1,351,10,"Animation, Action, Fantasy",Junya Motomura
198,Splatoon 2,2017,7.7,349,none,"Action, Adventure, Comedy",Yusuke Amano
199,Fifa 20,2019,4.9,349,none,Sport,Rhiann Connor
200,Rime,2017,7.6,347,none,"Adventure, Fantasy, Mystery",Raúl Rubio Munárriz
201,WWE 2K16,2015,6.9,344,none,Sport,Steve Austin
202,Rage 2,2019,6.5,338,none,"Action, Sci-Fi",Tim Willits
203,Divinity: Original Sin II,2017,8.8,338,none,"Adventure, Fantasy",Swen Vincke
204,NBA 2K17,2016,7.6,338,none,Sport,Aaron Covington
205,Poketto Monsutâ San,2016,8.2,326,none,"Action, Adventure, Family",Shigeru Ohmori
206,Street Fighter V,2016,6.4,326,12,"Action, Fantasy, Sci-Fi",Jonathan Klein
207,Celeste,2018,8.6,324,Livre,"Action, Adventure, Family",none
208,Assassin's Creed: The Ezio Collection,2016,9.0,324,none,"Action, Adventure, Fantasy",Roger Craig Smith
209,Star Wars: The Old Republic - Knights of the Fallen Empire,2015,8.5,322,none,"Action, Adventure, Fantasy",Ben Irving
210,Wolfenstein: Youngblood,2019,4.9,321,none,"Action, Adventure, Comedy",Dinga Bakaba
211,Kung Fury: Street Rage,2015,7.6,320,none,"Action, Sci-Fi",none
212,Ryuu ga gotoku: Kiwami,2016,8.2,320,none,"Action, Adventure, Crime",Hiroyuki Sakamoto
213,Disney Infinity 3.0,2015,7.0,317,none,Action,Mo Davoudian
214,Evolve,2015,5.8,316,14,"Action, Adventure, Sci-Fi",Daniel D. Gregoire
215,Pro Evolution Soccer 2017,2016,7.0,310,none,"Action, Adventure, Sport",Yoshikatsu Ogihara
216,Poketto Monsutâ Mûn,2016,8.0,304,none,"Action, Adventure, Family",Shigeru Ohmori
217,Subnautica,2018,8.4,303,none,"Action, Adventure, Horror",Charlie Cleveland
218,Observer,2017,7.5,303,none,"Adventure, Drama, Horror",Mariusz Szaflik
219,Five Nights at Freddy's: Sister Location,2016,7.0,300,16,Horror,Scott Cawthon
220,Cities: Skylines,2015,7.9,299,none,Adventure,none
221,Just Cause 4,2018,5.9,292,none,"Action, Adventure, Crime",Francesco Antolini
222,Pillars of Eternity,2015,7.9,286,16,"Adventure, Fantasy",Chris Avellone
223,Assassin's Creed: Syndicate - Jack the Ripper,2015,7.7,279,none,"Action, Adventure, Crime",Scott Phillips
224,NBA 2K18,2017,6.4,274,none,Sport,Christian Papierniak
225,NBA 2k19,2018,6.7,271,none,Sport,Christian Papierniak
226,Halo Wars 2,2017,7.4,269,14,"Action, Sci-Fi, War",Alistair Hope
227,Crash Team Racing: Nitro-Fueled,2019,8.5,262,Livre,"Adventure, Comedy, Sport",Philippe Turcotte
228,Lego DC Super-Villains,2018,7.9,262,none,"Action, Adventure, Comedy",Andrew Holt
229,Destiny 2: Forsaken,2018,7.8,261,none,"Action, Adventure, Fantasy",Scott Taylor
230,Darksiders III,2018,6.7,261,none,Fantasy,John Pearl
231,Call of Cthulhu: The Official Video Game,2018,7.8,252,none,"Adventure, Horror, Mystery",Jeremie Monedero
232,Mario + Rabbids Kingdom Battle,2017,7.3,250,Livre,"Action, Adventure, Comedy",Davide Soliani
233,Super Mario Party,2018,7.5,248,Livre,"Action, Adventure, Family",Shuichiro Nishiya
234,Dragon Age: Inquisition - Trespasser,2015,8.5,248,none,Fantasy,Mike Laidlaw
235,Fire Emblem: Fates,2015,7.6,245,none,"Action, Adventure, Family",Kouhei Maeda
236,Night in the Woods,2017,8.2,240,none,"Animation, Drama, Mystery",Alec Holowka
237,Assassin's Creed: Chronicles,2015,6.3,236,none,"Action, Adventure",Johnny Neal
238,Mario Party 10,2015,6.1,234,none,"Action, Adventure, Family",Kenji Kikuchi
239,Ni no Kuni II: Revenant Kingdom,2018,8.4,232,none,"Adventure, Fantasy",Akihiro Hino
240,New Danganronpa V3: Minna no Koroshiai Shingakki,2017,8.3,231,16,"Comedy, Drama, Sci-Fi",Sayaka Kanda
241,Naruto Shippuden: Ultimate Ninja Storm 4,2016,8.2,230,12,"Action, Adventure, Comedy",Yohei Ishibashi
242,WWE 2K17,2016,7.1,229,none,"Action, Family, Sport",Jerry Lawler
243,Gran Turismo Sport,2017,7.3,223,none,Sport,Kazunori Yamauchi
